SentenceID;Sentence;Category;Theme;TruthValue;Length;Run
1;On trace un cercle avec une équerre.;Math1;Geometry;False;10;1
2;Un rectangle a autant de côtés qu’un triangle.;Math1;Geometry;False;13;2
3;Une pyramide est formée de carrés et de rectangles.;Math1;Geometry;False;16;3
4;Un quart d'heure vaut trente minutes.;Math1;Number;False;10;4
5;Quinze plus deux est plus petit que deux plus quinze.;Math1;Number;False;13;5
6;Enlever un à six donne un total qui est égal à trois.;Math1;Number;False;16;6
7;Les côtés d’un carré sont tous égaux.;Math1;Geometry;True;10;2
8;Toutes les faces d'un pavé sont des rectangles.;Math1;Geometry;True;13;3
9;Un triangle a le même nombre de côtés et de sommets.;Math1;Geometry;True;16;4
10;Quatre plus dix est égal à quatorze.;Math1;Number;True;11;5
11;Dix-sept est un nombre plus grand que le chiffre neuf.;Math1;Number;True;13;6
12;Trente-cinq est formé de trois dizaines et cinq unités.;Math1;Number;True;16;1
13;Un cercle possède des angles droits.;Math2;Geometry;False;10;3
14;Un quadrilatère est une forme à trois côtés.;Math2;Geometry;False;13;4
15;La longueur du contour d'une figure donne son aire. ;Math2;Geometry;False;16;5
16;Douze est compris entre sept et dix. ;Math2;Number;False;10;6
17;Un centimètre est plus petit qu'un millimètre.;Math2;Number;False;13;1
18;Pour aller de quatre-vingt-sept à cent, il manque trente-huit. ;Math2;Number;False;16;2
19;Un losange a tous ses côtés égaux.;Math2;Geometry;True;10;4
20;Un carré peut être découpé en triangles.;Math2;Geometry;True;13;5
21;Un triangle isocèle possède un axe de symétrie.;Math2;Geometry;True;16;6
22;Un kilogramme vaut mille grammes.;Math2;Number;True;10;1
23;Vingt-quatre plus trente-six donne un nombre pair.;Math2;Number;True;13;2
24;Deux mille cinq cent est composé de deux milliers et cinq centaines.;Math2;Number;True;17;3
25;Un hexagone a tous ses angles droits. ;Math3;Geometry;False;10;5
26;Tous les côtés d’un parallélogramme sont égaux.;Math3;Geometry;False;14;6
27;Le patron d'un pavé est fait seulement de pentagones.;Math3;Geometry;False;16;1
28;Un multiple de deux est un nombre impair.;Math3;Number;False;11;2
29;La fraction un tiers est équivalente à deux quarts.;Math3;Number;False;13;3
30;Un nombre qui finit par trois est toujours divisible par cinq.;Math3;Number;False;17;4
31;Les angles d’un rectangle sont égaux.;Math3;Geometry;True;10;6
32;La médiatrice d'un segment passe par son milieu.;Math3;Geometry;True;14;1
33;Les diagonales d'un losange sont perpendiculaires.;Math3;Geometry;True;16;2
34;Un dixième est plus petit qu'un demi.;Math3;Number;True;10;3
35;Quinze divisé par trois donne exactement cinq.;Math3;Number;True;13;4
36;Une fraction a un numérateur et un dénominateur.;Math3;Number;True;17;5
37;Un losange est un type d'hexagone.;Math4;Geometry;False;11;1
38;Un triangle équilatéral a des angles obtus.;Math4;Geometry;False;13;2
39;Les points équidistants à un centre forment une droite.;Math4;Geometry;False;16;3
40;Cinquante pour cent de vingt fait quinze.;Math4;Number;False;10;4
41;Le produit de nombres négatifs est négatif.;Math4;Number;False;13;5
42;Elever un nombre au carré c’est le multiplier par quatre.;Math4;Number;False;16;6
43;Des angles alternes-internes sont égaux.;Math4;Geometry;True;10;2
44;Les médianes d'un triangle sont concourantes.;Math4;Geometry;True;13;3
45;Une translation déplace une figure sans la déformer.;Math4;Geometry;True;16;4
46;La somme de nombres opposés est nulle.;Math4;Number;True;11;5
47;Le volume d'un cube de côté deux vaut huit.;Math4;Number;True;13;6
48;Un nombre premier est divisible par un et lui-même.;Math4;Number;True;16;1
49;Les hauteurs se coupent au barycentre.;Math5;Geometry;False;10;3
50;La norme d'un vecteur dépend de sa direction.;Math5;Geometry;False;13;4
51;Une droite affine passe par l'origine du repère.;Math5;Geometry;False;17;5
52;La fonction carré a un maximum.;Math5;Number;False;10;6
53;La racine carrée de deux est rationnelle.;Math5;Number;False;13;1
54;Toute équation linéaire admet deux solutions réelles.;Math5;Number;False;16;2
55;Une parabole est symétrique.;Math5;Geometry;True;10;4
56;Une homothétie est un changement d'échelle.;Math5;Geometry;True;13;5
57;Un parallélogramme est formé de vecteurs colinéaires.;Math5;Geometry;True;17;6
58;Dix puissance moins trois est positif.;Math5;Number;True;10;1
59;Les probabilités sont entre zéro et un.;Math5;Number;True;13;2
60;Une fonction relie un antécédent à une image.;Math5;Number;True;16;3
61;La norme est une mesure angulaire.;Math6;Geometry;False;10;5
62;La section d'un plan par une droite est un cercle.;Math6;Geometry;False;13;6
63;Les similitudes indirectes conservent l'orientation.;Math6;Geometry;False;17;1
64;L’exponentielle est une fonction bornée.;Math6;Number;False;11;2
